Time@Axial Accel (Gs),Axial Accel (Gs)
2.37125,8.51
2.37375,8.22
2.37625,8.32
2.37875,8.32
2.38125,8.32
2.38375,8.22
2.38625,8.99
2.38875,8.32
2.39125,8.51
2.39375,8.32
2.39625,8.22
2.39875,8.22
2.40125,8.22
2.40375,8.32
2.40625,8.7
2.40875,8.41
2.41125,7.93
2.41375,8.03
2.41625,7.93
2.41875,8.22
2.42125,8.22
2.42375,8.12
2.42625,8.12
2.42875,8.22
2.43125,8.22
2.43375,8.22
2.43625,8.22
2.43875,8.22
2.44125,8.22
2.44375,8.22
2.44625,8.22
2.44875,8.12
2.45125,8.22
2.45375,8.22
2.45625,8.22
2.45875,8.41
2.46125,8.22
2.46375,8.22
2.46625,8.41
2.46875,8.51
2.47125,8.41
2.47375,8.22
2.47625,8.6
2.47875,8.7
2.48125,8.7
2.48375,8.22
2.48625,8.03
2.48875,7.93
2.49125,8.22
2.49375,8.12
2.49625,8.22
2.49875,8.32
2.50125,8.12
2.50375,8.22
2.50625,8.22
2.50875,8.12
2.51125,8.22
2.51375,8.41
2.51625,7.74
2.51875,8.03
2.52125,7.64
2.52375,8.12
2.52625,8.12
2.52875,8.03
2.53125,7.93
2.53375,8.12
2.53625,8.03
2.53875,7.93
2.54125,8.12
2.54375,7.83
2.54625,8.03
2.54875,7.83
2.55125,8.12
2.55375,8.12
2.55625,8.12
2.55875,7.93
2.56125,8.03
2.56375,7.93
2.56625,8.12
2.56875,8.12
2.57125,8.12
2.57375,8.22
2.57625,8.6
2.57875,8.51
2.58125,8.7
2.58375,8.12
2.58625,7.74
2.58875,7.93
2.59125,8.22
2.59375,8.12
2.59625,7.74
2.59875,7.83
2.60125,7.83
2.60375,7.83
2.60625,7.83
2.60875,7.83
2.61125,7.83
2.61375,7.83
2.61625,7.83
2.61875,8.03
2.62125,8.03
2.62375,7.83
2.62625,7.83
2.62875,7.83
2.63125,7.83
2.63375,7.83
2.63625,7.93
2.63875,7.74
2.64125,7.74
2.64375,7.74
2.64625,7.83
2.64875,7.83
2.65125,7.83
2.65375,7.83
2.65625,7.83
2.65875,7.83
2.66125,7.74
2.66375,8.12
2.66625,8.22
2.66875,8.03
2.67125,7.83
2.67375,7.74
2.67625,7.16
2.67875,7.83
2.68125,7.83
2.68375,7.64
2.68625,8.12
2.68875,8.12
2.69125,7.83
2.69375,8.03
2.69625,8.12
2.69875,7.83
2.70125,7.74
2.70375,7.93
2.70625,7.74
2.70875,7.93
2.71125,7.74
2.71375,7.74
2.71625,7.83
2.71875,7.83
2.72125,7.64
2.72375,7.83
2.72625,7.74
2.72875,7.83
2.73125,7.83
2.73375,7.64
2.73625,7.74
2.73875,7.35
2.74125,7.64
2.74375,7.64
2.74625,7.64
2.74875,7.64
2.75125,7.74
2.75375,7.64
2.75625,7.55
2.75875,7.83
2.76125,7.55
2.76375,7.55
2.76625,7.93
2.76875,8.12
2.77125,7.55
2.77375,7.55
2.77625,7.74
2.77875,7.74
2.78125,8.03
2.78375,7.74
2.78625,7.55
2.78875,7.45
2.79125,7.55
2.79375,7.74
2.79625,7.55
2.79875,7.45
2.80125,7.45
2.80375,7.55
2.80625,7.55
2.80875,7.55
2.81125,7.45
2.81375,7.45
2.81625,7.45
2.81875,7.64
2.82125,7.45
2.82375,7.55
2.82625,7.45
2.82875,7.55
2.83125,7.55
2.83375,7.45
2.83625,7.64
2.83875,7.64
2.84125,7.45
2.84375,7.45
2.84625,7.45
2.84875,7.45
2.85125,7.45
2.85375,7.45
2.85625,7.45
2.85875,7.55
2.86125,7.55
2.86375,7.35
2.86625,7.55
2.86875,7.35
2.87125,7.26
2.87375,7.45
2.87625,7.35
2.87875,7.45
2.88125,7.55
2.88375,7.45
2.88625,7.45
2.88875,7.45
2.89125,7.45
2.89375,7.35
2.89625,7.45
2.89875,7.45
2.90125,7.45
2.90375,7.45
2.90625,7.35
2.90875,7.45
2.91125,7.45
2.91375,7.55
2.91625,7.64
2.91875,7.26
2.92125,7.35
2.92375,7.45
2.92625,7.45
2.92875,7.35
2.93125,7.55
2.93375,7.64
2.93625,7.45
2.93875,7.35
2.94125,7.35
2.94375,7.35
2.94625,7.55
2.94875,7.45
2.95125,7.35
2.95375,7.26
2.95625,7.26
2.95875,7.45
2.96125,7.45
2.96375,7.45
2.96625,7.26
2.96875,7.35
2.97125,7.35
2.97375,7.26
2.97625,7.26
2.97875,7.45
2.98125,7.26
2.98375,7.35
2.98625,7.26
2.98875,7.26
2.99125,7.35
2.99375,7.26
2.99625,7.35
2.99875,7.35
3.00125,7.45
3.00375,7.26
3.00625,7.26
3.00875,7.35
3.01125,7.45
3.01375,7.45
3.01625,7.35
3.01875,7.45
3.02125,7.26
3.02375,7.45
3.02625,7.35
3.02875,7.26
3.03125,7.35
3.03375,7.45
3.03625,7.26
3.03875,7.26
3.04125,7.26
3.04375,7.26
3.04625,7.26
3.04875,7.26
3.05125,7.26
3.05375,7.26
3.05625,7.26
3.05875,7.26
3.06125,7.26
3.06375,7.35
3.06625,7.35
3.06875,7.35
3.07125,7.45
3.07375,7.45
3.07625,7.35
3.07875,7.35
3.08125,7.26
3.08375,7.16
3.08625,7.26
3.08875,7.35
3.09125,7.26
3.09375,7.35
3.09625,7.26
3.09875,7.35
3.10125,7.16
3.10375,7.26
3.10625,7.35
3.10875,7.26
3.11125,7.16
3.11375,7.26
3.11625,7.26
3.11875,7.16
3.12125,7.06
3.12375,7.16
3.12625,7.16
3.12875,7.06
3.13125,7.26
3.13375,7.16
3.13625,7.26
3.13875,7.16
3.14125,7.26
3.14375,7.16
3.14625,7.16
3.14875,7.16
3.15125,7.35
3.15375,7.16
3.15625,7.16
3.15875,7.16
3.16125,7.16
3.16375,7.26
3.16625,7.16
3.16875,7.26
3.17125,7.45
3.17375,7.26
3.17625,7.26
3.17875,7.26
3.18125,7.55
3.18375,7.45
3.18625,7.16
3.18875,7.06
3.19125,7.16
3.19375,7.16
3.19625,7.16
3.19875,7.16
3.20125,7.26
3.20375,7.06
3.20625,7.16
3.20875,7.16
3.21125,7.16
3.21375,7.16
3.21625,7.26
3.21875,7.06
3.22125,7.16
3.22375,7.06
3.22625,7.16
3.22875,7.16
3.23125,7.16
3.23375,7.16
3.23625,7.35
3.23875,7.64
3.24125,7.74
3.24375,7.26
3.24625,6.97
3.24875,7.06
3.25125,7.06
3.25375,7.16
3.25625,7.16
3.25875,7.06
3.26125,7.06
3.26375,7.16
3.26625,7.06
3.26875,7.06
3.27125,7.06
3.27375,7.06
3.27625,7.06
3.27875,7.06
3.28125,6.97
3.28375,6.97
3.28625,7.06
3.28875,7.06
3.29125,7.06
3.29375,7.06
3.29625,7.16
3.29875,7.06
3.30125,6.97
3.30375,6.97
3.30625,7.06
3.30875,7.06
3.31125,7.06
3.31375,7.06
3.31625,7.06
3.31875,7.06
3.32125,7.06
3.32375,7.06
3.32625,6.97
3.32875,7.06
3.33125,7.06
3.33375,7.06
3.33625,7.06
3.33875,7.06
3.34125,6.87
3.34375,7.06
3.34625,7.16
3.34875,6.97
3.35125,6.78
3.35375,6.97
3.35625,7.06
3.35875,6.97
3.36125,7.06
3.36375,6.97
3.36625,7.16
3.36875,7.16
3.37125,7.06
3.37375,7.06
3.37625,7.06
3.37875,7.06
3.38125,6.97
3.38375,6.97
3.38625,6.87
3.38875,7.06
3.39125,6.78
3.39375,6.97
3.39625,6.97
3.39875,6.87
3.40125,6.87
3.40375,6.87
3.40625,6.87
3.40875,6.97
3.41125,6.97
3.41375,6.87
3.41625,6.97
3.41875,6.97
3.42125,6.78
3.42375,6.97
3.42625,6.97
3.42875,6.68
3.43125,6.97
3.43375,6.87
3.43625,6.97
3.43875,6.97
3.44125,7.06
3.44375,7.06
3.44625,6.97
3.44875,6.97
3.45125,6.87
3.45375,7.06
3.45625,7.16
3.45875,6.97
3.46125,6.78
3.46375,7.06
3.46625,7.06
3.46875,6.97
3.47125,6.87
3.47375,6.97
3.47625,6.97
3.47875,6.97
3.48125,6.87
3.48375,6.87
3.48625,6.97
3.48875,6.78
3.49125,6.68
3.49375,6.78
3.49625,6.78
3.49875,6.78
3.50125,6.87
3.50375,6.87
3.50625,6.87
3.50875,6.97
3.51125,6.87
3.51375,6.87
3.51625,6.87
3.51875,6.68
3.52125,6.78
3.52375,6.87
3.52625,6.68
3.52875,6.87
3.53125,6.87
3.53375,6.68
3.53625,6.68
3.53875,6.68
3.54125,6.78
3.54375,6.68
3.54625,6.78
3.54875,6.87
3.55125,6.78
3.55375,6.87
3.55625,6.87
3.55875,6.87
3.56125,6.78
3.56375,6.87
3.56625,6.78
3.56875,6.78
3.57125,6.68
3.57375,6.87
3.57625,6.97
3.57875,6.87
3.58125,6.78
3.58375,6.87
3.58625,6.68
3.58875,6.87
3.59125,6.68
3.59375,6.78
3.59625,6.87
3.59875,6.87
3.60125,6.78
3.60375,6.78
3.60625,6.87
3.60875,6.78
3.61125,6.68
3.61375,6.78
3.61625,6.68
3.61875,6.68
3.62125,6.68
3.62375,6.68
3.62625,6.68
3.62875,6.68
3.63125,6.68
3.63375,6.68
3.63625,6.68
3.63875,6.68
3.64125,6.68
3.64375,6.68
3.64625,6.58
3.64875,6.68
3.65125,6.68
3.65375,6.68
3.65625,6.58
3.65875,6.68
3.66125,6.58
3.66375,6.68
3.66625,6.68
3.66875,6.68
3.67125,6.68
3.67375,6.58
3.67625,6.58
3.67875,6.58
3.68125,6.58
3.68375,6.58
3.68625,6.68
3.68875,6.58
3.69125,6.58
3.69375,6.68
3.69625,6.58
3.69875,6.58
3.70125,6.39
3.70375,6.58
3.70625,6.49
3.70875,6.58
3.71125,6.39
3.71375,6.2
3.71625,6.2
3.71875,6.49
3.72125,6.2
3.72375,6.2
3.72625,6.1
3.72875,5.91
3.73125,6.01
3.73375,6.01
3.73625,6.01
3.73875,5.91
3.74125,6.01
3.74375,6.39
3.74625,5.91
3.74875,5.81
3.75125,5.91
3.75375,5.91
3.75625,5.91
3.75875,6.01
3.76125,5.91
3.76375,5.91
3.76625,5.91
3.76875,5.72
3.77125,5.72
3.77375,5.72
3.77625,5.72
3.77875,5.81
3.78125,5.72
3.78375,5.72
3.78625,5.72
3.78875,5.81
3.79125,5.72
3.79375,5.62
3.79625,5.72
3.79875,5.72
3.80125,5.52
3.80375,5.52
3.80625,5.62
3.80875,5.52
3.81125,5.62
3.81375,5.62
3.81625,5.52
3.81875,5.52
3.82125,5.43
3.82375,5.52
3.82625,5.43
3.82875,5.52
3.83125,5.43
3.83375,5.52
3.83625,5.33
3.83875,5.24
3.84125,5.24
3.84375,5.43
3.84625,5.33
3.84875,5.14
3.85125,5.43
3.85375,5.24
3.85625,5.14
3.85875,5.24
3.86125,5.14
3.86375,5.24
3.86625,5.14
3.86875,5.14
3.87125,5.14
