# Simulation 3 (Up to date)
# 1006 data points written for 5 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (22.6 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Calibres marge de stabilité (​),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
15.911,2688.8,-11.53,2.8572,0.30264
15.961,2693.7,-11.508,2.8566,0.30091
16.011,2698.7,-11.486,2.8629,0.29919
16.061,2703.6,-11.464,2.8684,0.29747
16.111,2708.4,-11.442,2.8778,0.29577
16.161,2713.3,-11.421,2.8816,0.29405
16.211,2718.1,-11.4,2.8807,0.29233
16.261,2722.9,-11.379,2.8736,0.29064
16.311,2727.7,-11.359,2.8783,0.28891
16.361,2732.4,-11.339,2.8767,0.28721
16.411,2737.1,-11.319,2.8713,0.28551
16.461,2741.8,-11.3,2.8775,0.28379
16.511,2746.4,-11.28,2.8719,0.2821
16.561,2751,-11.261,2.8692,0.2804
16.611,2755.6,-11.243,2.8758,0.2787
16.661,2760.2,-11.224,2.8727,0.27701
16.711,2764.7,-11.204,2.8631,0.27534
16.761,2769.2,-11.186,2.8672,0.27364
16.811,2773.7,-11.169,2.8712,0.27195
16.861,2778.2,-11.149,2.8574,0.2703
16.911,2782.6,-11.131,2.8583,0.26862
16.961,2787,-11.115,2.8672,0.26693
17.011,2791.4,-11.099,2.8729,0.26523
17.061,2795.7,-11.081,2.8758,0.26357
17.111,2800,-11.062,2.8605,0.26193
17.161,2804.3,-11.043,2.849,0.26029
17.211,2808.5,-11.026,2.8414,0.25865
17.261,2812.8,-11.007,2.8297,0.25701
17.311,2817,-10.991,2.8282,0.25536
17.361,2821.2,-10.976,2.8461,0.25368
17.411,2825.3,-10.96,2.8462,0.25204
17.461,2829.4,-10.944,2.8425,0.25041
17.511,2833.5,-10.927,2.84,0.24877
17.561,2837.6,-10.912,2.839,0.24714
17.611,2841.6,-10.897,2.852,0.24549
17.661,2845.6,-10.885,2.8664,0.24381
17.711,2849.6,-10.87,2.8652,0.24218
17.761,2853.6,-10.854,2.8674,0.24057
17.811,2857.5,-10.838,2.8686,0.23896
17.861,2861.4,-10.822,2.8626,0.23735
17.911,2865.3,-10.809,2.8712,0.23572
17.961,2869.1,-10.793,2.8658,0.23412
18.011,2872.9,-10.778,2.8588,0.23252
18.061,2876.7,-10.765,2.8677,0.23088
18.111,2880.5,-10.751,2.8634,0.22926
18.161,2884.2,-10.739,2.846,0.22762
18.211,2888,-10.725,2.8442,0.22601
18.261,2891.7,-10.712,2.8374,0.22439
18.311,2895.3,-10.698,2.8437,0.2228
18.361,2898.9,-10.683,2.854,0.22122
18.411,2902.6,-10.67,2.8444,0.2196
18.461,2906.1,-10.659,2.8232,0.21795
18.511,2909.7,-10.647,2.8115,0.21633
18.561,2913.2,-10.632,2.8301,0.21476
18.611,2916.7,-10.615,2.8625,0.21323
18.661,2920.2,-10.604,2.8482,0.2116
18.711,2923.6,-10.589,2.8655,0.21003
18.761,2927.1,-10.577,2.8628,0.20843
18.811,2930.4,-10.564,2.867,0.20684
18.861,2933.8,-10.551,2.8662,0.20525
18.911,2937.2,-10.538,2.854,0.20368
18.961,2940.5,-10.522,2.8146,0.20217
19.011,2943.8,-10.509,2.8031,0.20061
19.061,2947,-10.497,2.8005,0.19903
19.111,2950.3,-10.488,2.8342,0.19738
19.161,2953.5,-10.481,2.8527,0.19571
19.211,2956.6,-10.471,2.8363,0.19411
19.261,2959.8,-10.462,2.8052,0.19247
19.311,2962.9,-10.449,2.8217,0.19092
19.361,2966,-10.437,2.8362,0.18937
19.411,2969.1,-10.425,2.8412,0.18781
19.461,2972.2,-10.412,2.8622,0.18628
19.511,2975.2,-10.402,2.8498,0.18467
19.561,2978.2,-10.391,2.8522,0.18311
19.611,2981.2,-10.379,2.8604,0.18156
19.661,2984.1,-10.37,2.8519,0.17996
19.711,2987.1,-10.36,2.8416,0.17838
19.761,2989.9,-10.349,2.8497,0.17682
19.811,2992.8,-10.338,2.8623,0.17528
19.861,2995.7,-10.327,2.8491,0.17374
19.911,2998.5,-10.318,2.8608,0.17214
19.961,3001.3,-10.307,2.8511,0.1706
20.011,3004,-10.297,2.8492,0.16904
20.061,3006.8,-10.287,2.8405,0.1675
20.111,3009.5,-10.277,2.8373,0.16594
20.161,3012.2,-10.267,2.8269,0.1644
20.211,3014.9,-10.256,2.7989,0.1629
20.261,3017.5,-10.245,2.7701,0.1614
20.311,3020.1,-10.236,2.7777,0.15983
20.361,3022.7,-10.227,2.7688,0.1583
20.411,3025.3,-10.217,2.7613,0.15677
20.461,3027.8,-10.209,2.7715,0.15521
20.511,3030.3,-10.2,2.7664,0.15368
20.561,3032.8,-10.193,2.7892,0.15209
20.611,3035.3,-10.185,2.7956,0.15054
20.661,3037.7,-10.178,2.8145,0.14897
20.711,3040.1,-10.168,2.7823,0.1475
20.761,3042.5,-10.16,2.7854,0.14596
20.811,3044.9,-10.151,2.7676,0.14446
20.861,3047.2,-10.143,2.7645,0.14294
20.911,3049.5,-10.135,2.7617,0.14142
20.961,3051.8,-10.128,2.7787,0.13986
21.011,3054,-10.12,2.7815,0.13834
21.061,3056.3,-10.111,2.7415,0.13689
21.111,3058.5,-10.101,2.7077,0.13544
21.161,3060.7,-10.096,2.7538,0.13384
21.211,3062.8,-10.089,2.7503,0.13233
21.261,3064.9,-10.082,2.7534,0.13081
21.311,3067.1,-10.075,2.7591,0.12929
21.361,3069.1,-10.068,2.7438,0.12781
21.411,3071.2,-10.06,2.741,0.12631
21.461,3073.2,-10.054,2.7437,0.1248
21.511,3075.2,-10.05,2.7866,0.12321
21.561,3077.2,-10.043,2.7849,0.12171
21.611,3079.2,-10.036,2.7773,0.12022
21.661,3081.1,-10.029,2.7728,0.11873
21.711,3083,-10.024,2.8011,0.11717
21.761,3084.9,-10.018,2.7926,0.11569
21.811,3086.7,-10.01,2.7662,0.11424
21.861,3088.6,-10.003,2.743,0.11279
21.911,3090.4,-9.997,2.7406,0.1113
21.961,3092.2,-9.9887,2.6923,0.1099
22.011,3093.9,-9.9821,2.6753,0.10844
22.061,3095.6,-9.9778,2.7018,0.1069
22.111,3097.3,-9.9745,2.7504,0.10531
22.161,3099,-9.9705,2.7828,0.10375
22.211,3100.7,-9.9639,2.7566,0.10231
22.261,3102.3,-9.9593,2.7727,0.10079
22.311,3103.9,-9.9547,2.7882,0.09927
22.361,3105.5,-9.9507,2.8151,0.09773
22.411,3107,-9.9451,2.8044,0.096259
22.461,3108.6,-9.938,2.7554,0.094861
22.511,3110.1,-9.9342,2.7809,0.093322
22.561,3111.6,-9.9298,2.7914,0.091813
22.611,3113,-9.9241,2.7694,0.090363
22.661,3114.5,-9.9209,2.8078,0.088802
22.711,3115.9,-9.9152,2.7774,0.087366
22.761,3117.2,-9.909,2.7331,0.085958
22.811,3118.6,-9.9035,2.7042,0.084523
22.861,3119.9,-9.8992,2.7026,0.083034
22.911,3121.2,-9.8945,2.6888,0.081569
22.961,3122.5,-9.8897,2.6693,0.080115
23.011,3123.8,-9.8839,2.6208,0.078722
23.061,3125,-9.879,2.5938,0.077286
23.111,3126.2,-9.8758,2.6091,0.075759
23.161,3127.4,-9.8718,2.602,0.074279
23.211,3128.6,-9.8669,2.5637,0.072866
23.261,3129.7,-9.8619,2.5227,0.07146
23.311,3130.8,-9.858,2.5089,0.069994
23.361,3131.9,-9.8521,2.4392,0.06866
23.411,3133,-9.848,2.4134,0.067223
23.461,3134,-9.8438,2.3811,0.065803
23.511,3135,-9.8392,2.3386,0.06441
23.561,3136,-9.8361,2.3284,0.062932
23.611,3137,-9.831,2.2682,0.06159
23.661,3137.9,-9.8269,2.229,0.060193
23.711,3138.8,-9.8229,2.1905,0.058796
23.761,3139.7,-9.8189,2.1516,0.0574
23.811,3140.6,-9.8132,2.0733,0.056137
23.861,3141.4,-9.8102,2.0483,0.0547
23.911,3142.2,-9.8089,2.0582,0.053141
23.961,3143,-9.8061,2.0344,0.051693
24.011,3143.8,-9.8045,2.0333,0.050165
24.061,3144.5,-9.8021,2.0132,0.048697
24.111,3145.2,-9.7966,1.9222,0.047481
24.161,3145.9,-9.7929,1.8674,0.046143
24.211,3146.6,-9.7906,1.8382,0.044703
24.261,3147.2,-9.7866,1.7766,0.043397
24.311,3147.9,-9.7836,1.7302,0.042029
24.361,3148.5,-9.778,1.6448,0.040857
24.411,3149,-9.7721,1.5603,0.039716
24.461,3149.6,-9.7682,1.5044,0.038431
24.511,3150.1,-9.7623,1.4292,0.037292
24.561,3150.6,-9.7603,1.3944,0.03588
24.611,3151.1,-9.7547,1.3262,0.034731
24.661,3151.5,-9.7501,1.2691,0.033517
24.711,3151.9,-9.7438,1.2027,0.032425
24.761,3152.3,-9.7344,1.125,0.03153
24.811,3152.7,-9.7297,1.0742,0.030371
24.861,3153.1,-9.7295,1.0398,0.028988
24.911,3153.4,-9.7263,0.99057,0.027849
24.961,3153.7,-9.7213,0.93645,0.026863
25.011,3154,-9.7145,0.88149,0.026018
25.061,3154.2,-9.7073,0.83165,0.025216
25.111,3154.4,-9.7006,0.78854,0.024392
25.161,3154.7,-9.688,0.74297,0.024013
25.211,3154.8,-9.6797,0.7104,0.023342
25.261,3155,-9.6717,0.68336,0.022691
25.311,3155.1,-9.6703,0.66421,0.021631
25.361,3155.2,-9.747,2.1445,0.021358
25.411,3155.3,-9.7472,2.2113,0.020658
25.461,3155.4,-9.7466,2.2759,0.020149
25.511,3155.4,-9.7439,2.3213,0.020037
25.561,3155.4,-9.7428,2.3937,0.019728
