#Frame	1
X	456
3	8401
X	438
Y	8
X	438
4	0
X	447
Y	8
X	447
F	-11048
X	429
Y	-8
X	447
b	8442
X	438
Y	-8
X	438
T	7723
X	419
Y	8
X	456
P	23635
X	438
Y	8
X	438
V	2065
p	207
t	0
v	103
t	0
#Frame	35
X	447
Y	8
X	438
C	250
X	447
Y	8
X	456
a	8421
X	456
Y	8
X	447
m	8401
X	456
Y	0
X	429
3	8421
X	438
Y	8
X	438
4	0
X	447
Y	16
X	447
F	-11048
X	447
Y	16
X	438
b	8442
X	438
Y	16
X	438
T	7723
X	438
Y	8
X	456
P	23627
X	438
Y	8
X	438
V	2137
p	228
t	0
v	104
t	0
#Frame	36
X	429
Y	8
X	410
C	125
X	438
Y	0
X	438
a	8401
X	447
Y	8
X	447
m	8401
X	429
Y	8
X	447
3	8421
X	447
Y	8
X	447
4	0
X	438
Y	16
X	447
F	-11048
X	447
Y	8
X	447
b	8442
X	456
Y	8
X	429
T	7723
X	438
Y	8
X	410
P	23619
X	456
Y	8
X	465
V	2210
p	259
t	0
v	116
t	0
#Frame	37
X	502
Y	-8
X	502
C	250
X	502
Y	8
X	483
a	8401
X	474
Y	-8
X	465
m	8401
X	465
Y	8
X	447
3	8401
X	447
Y	0
X	447
4	0
X	456
Y	0
X	456
F	-11048
X	456
Y	8
X	456
b	8462
X	447
Y	16
X	429
T	7723
X	429
Y	8
X	429
P	23612
X	438
Y	8
X	447
V	2291
p	283
t	0
v	116
t	0
#Frame	38
X	429
Y	-16
X	438
C	250
X	429
Y	-16
X	438
a	8421
X	465
Y	8
X	465
m	8401
X	438
Y	0
X	456
3	8401
X	456
Y	8
X	447
4	0
X	447
Y	8
X	447
F	-11048
X	456
Y	-8
X	465
b	8462
X	438
Y	-8
X	438
T	7723
X	429
Y	0
X	456
P	23604
X	438
Y	16
X	456
V	2358
p	315
t	0
v	128
t	0
#Frame	39
X	438
Y	0
X	438
C	250
X	447
Y	-8
X	438
a	8421
X	419
Y	0
X	447
m	8401
X	438
Y	-16
X	447
3	8401
X	447
Y	-8
X	438
4	0
X	447
Y	-8
X	429
F	-11048
X	429
Y	-8
X	456
b	8442
X	438
Y	-8
X	447
T	7723
X	438
Y	-8
X	447
P	23596
X	456
Y	0
X	447
V	2431
p	340
t	0
v	128
t	0
#Frame	40
X	419
Y	0
X	456
C	187
X	465
Y	8
X	456
a	8421
X	438
Y	8
X	419
m	8401
X	447
Y	8
X	456
3	8421
X	438
Y	-8
X	419
4	0
X	456
Y	-8
X	419
F	-11048
X	429
Y	-8
X	447
b	8442
X	419
Y	-8
X	419
T	7723
X	438
Y	-8
X	447
P	23589
X	447
Y	0
X	429
V	2503
p	373
t	0
v	137
t	0
#Frame	41
X	438
Y	8
X	456
C	187
X	474
Y	8
X	447
a	8401
X	447
Y	0
X	447
m	8401
X	438
Y	-8
X	447
3	8401
X	447
Y	8
X	447
4	0
X	447
Y	-8
X	456
F	-11048
X	429
Y	0
X	419
b	8462
X	429
Y	8
X	419
T	7720
X	429
Y	8
X	447
P	23581
X	447
Y	0
X	419
V	2583
p	397
t	0
v	137
t	0
#Frame	42
X	438
Y	-8
X	447
C	250
X	410
Y	0
X	438
a	8421
X	456
Y	-8
X	429
m	8401
X	438
Y	0
X	447
3	8401
X	447
Y	-8
X	447
4	0
X	438
Y	-8
X	447
F	-11048
X	429
Y	-8
X	438
b	8462
X	438
Y	-8
X	438
T	7723
X	429
Y	-8
X	438
P	23572
X	438
Y	-16
X	419
V	2648
p	429
t	0
v	146
t	0
#Frame	43
X	429
Y	-16
X	429
C	250
X	419
Y	-8
X	447
a	8421
X	429
Y	-8
X	419
m	8401
X	447
Y	-8
X	429
3	8401
X	410
Y	-8
X	447
4	0
X	419
Y	-8
X	410
F	-11048
X	447
Y	-16
X	410
b	8442
X	429
Y	-25
X	447
T	7720
X	429
Y	-8
X	447
P	23564
X	438
Y	-16
X	429
V	2720
p	453
t	0
v	146
t	0
#Frame	44
X	438
Y	-8
X	438
C	250
X	429
Y	-16
X	438
a	8421
X	429
Y	-8
X	419
m	8401
X	447
Y	-16
X	419
3	8401
X	429
Y	-8
X	438
4	0
X	429
Y	-8
X	429
F	-11048
X	429
Y	-8
X	410
b	8442
X	447
Y	-8
X	419
T	7723
X	429
Y	-25
X	456
P	23555
X	429
Y	-8
X	429
V	2790
p	486
t	0
v	155
t	0
#Frame	45
X	429
Y	-8
X	410
C	125
X	429
Y	-16
X	410
a	8401
X	429
Y	-8
X	438
m	8401
X	410
Y	-25
X	429
3	8401
X	438
Y	-16
X	410
4	0
X	429
Y	-16
X	429
F	-11048
X	429
Y	-8
X	438
b	8442
X	429
Y	-16
X	438
T	7723
X	419
Y	-16
X	410
P	23544
X	419
Y	-16
X	410
V	2868
p	510
t	0
v	155
t	0
#Frame	46
X	419
Y	-8
X	429
C	250
X	429
Y	-16
X	447
a	8421
X	410
Y	-8
X	429
m	8401
X	447
Y	-8
X	447
3	8401
X	438
Y	-25
X	410
4	0
X	419
Y	-16
X	410
F	-11048
X	419
Y	-25
X	447
b	8442
X	429
Y	-16
X	419
T	7723
X	419
Y	-16
X	447
P	23534
X	429
Y	-16
X	438
V	2931
p	546
t	0
v	164
t	0
#Frame	47
X	429
Y	-16
X	429
C	250
X	419
Y	-8
X	429
a	8401
X	438
Y	-16
X	429
m	8401
X	419
Y	-25
X	410
3	8401
X	410
Y	-16
X	410
4	0
X	429
Y	-25
X	429
F	-11048
X	438
Y	-16
X	410
b	8442
X	419
Y	-25
X	410
T	7723
X	419
Y	-25
X	410
P	23523
X	410
Y	-25
X	410
V	3001
p	573
t	0
v	165
t	0
#Frame	48
X	419
Y	-16
X	429
C	250
X	429
Y	-16
X	429
a	8421
X	429
Y	-16
X	410
m	8401
X	429
Y	-16
X	410
3	8401
X	410
Y	-25
X	429
4	0
X	410
Y	-16
X	401
F	-11048
X	410
Y	-16
X	410
b	8442
X	429
Y	-25
X	429
T	7720
X	419
Y	-16
X	410
P	23513
X	419
Y	-8
X	419
V	3070
p	611
t	0
v	174
t	0
#Frame	49
X	410
Y	-8
X	419
C	250
X	438
Y	-8
X	438
a	8401
X	419
Y	-25
X	410
m	8401
X	410
Y	-25
X	419
3	8401
X	429
Y	-25
X	429
4	0
X	419
Y	-8
X	410
F	-11048
X	410
Y	-16
X	429
b	8442
X	410
Y	-25
X	410
T	7720
X	410
Y	-25
X	419
P	23501
X	429
Y	-16
X	456
V	3146
p	640
t	0
v	174
t	0
#Frame	50
X	438
Y	-25
X	410
C	250
X	410
Y	-16
X	410
a	8401
X	419
Y	-16
X	410
m	8401
X	410
Y	-25
X	410
3	8401
X	429
Y	-25
X	410
4	0
X	410
Y	-16
X	410
F	-11048
X	410
Y	-8
X	429
b	8442
X	429
Y	-25
X	419
T	7720
X	429
Y	-16
X	438
P	23491
X	410
Y	-25
X	410
V	3208
p	682
t	0
v	184
t	0
#Frame	51
X	429
Y	-25
X	429
C	125
X	410
Y	-16
X	410
a	8421
X	419
Y	-25
X	410
m	8401
X	410
Y	-8
X	429
3	8401
X	401
Y	-8
X	429
4	0
X	410
Y	-8
X	401
F	-10536
X	410
Y	-8
X	429
b	8442
X	419
Y	-8
X	410
T	7723
X	410
Y	-8
X	410
P	23480
X	410
Y	-16
X	401
V	3277
p	713
t	0
v	184
t	0
#Frame	52
X	410
Y	-16
X	419
C	250
X	410
Y	-8
X	410
a	8421
X	401
Y	-8
X	410
m	8401
X	429
Y	0
X	410
3	8401
X	410
Y	-8
X	410
4	0
X	410
Y	-8
X	410
F	-10536
X	410
Y	0
X	410
b	8442
X	401
Y	-8
X	410
T	7720
X	410
Y	-8
X	410
P	23469
X	410
Y	-16
X	410
V	3345
p	754
t	0
v	192
t	0
#Frame	53
X	410
Y	0
X	410
C	250
X	410
Y	8
X	419
a	8401
X	410
Y	-8
X	410
m	8401
X	401
Y	-8
X	410
3	8401
X	401
Y	0
X	410
4	0
X	410
Y	-16
X	374
F	-10536
X	410
Y	8
X	410
b	8462
X	410
Y	-16
X	410
T	7720
X	410
Y	-8
X	410
P	23457
X	410
Y	-25
X	410
V	3420
p	785
t	0
v	192
t	0
#Frame	54
X	410
Y	0
X	410
C	250
X	419
Y	8
X	401
a	8421
X	383
Y	-16
X	410
m	8401
X	401
Y	-16
X	401
3	8401
X	383
Y	-8
X	410
4	0
X	419
Y	0
X	410
F	-10536
X	410
Y	-8
X	392
b	8442
X	383
Y	-8
X	401
T	7720
X	410
Y	-16
X	429
P	23447
X	410
Y	-8
X	374
V	3480
p	827
t	0
v	200
t	0
#Frame	55
X	392
Y	8
X	392
C	250
X	410
Y	0
X	401
a	8401
X	401
Y	0
X	410
m	8401
X	410
Y	-16
X	419
3	8401
X	401
Y	0
X	383
4	0
X	383
Y	8
X	410
F	-10536
